PassageDate,PassageTime,PassageDirection,Species,BodyDepth,LengthCoefficient,TotalLength,LifeStage,Count,Sex,AdClip,Condition,IDCertainty,SilhouetteQuality,VideoQuality,VideoProblems,Vaki/Trap,Comments
2005-01-09,07:55:00,UP,RBT,127,4.1,520.7,A,1,F,N,GOOD,P,GOOD,POOR,TB,TRAP,NA
2005-10-15,14:28:00,UP,RBT,102,4.8,489.6,A,1,F,N,GOOD,P,POOR,GOOD,NA,VAKI,NA
2006-09-24,07:38:00,UP,RBT,80,4.2,336,J,1,UNK,N,GOOD,VL,POOR,FAIR,OR,VAKI,NA
2006-10-11,13:08:00,UP,RBT,90,4.2,378,J,1,F,Y,GOOD,P,GOOD,GOOD,NA,VAKI,NA
2006-10-25,12:39:00,UP,RBT,127,4.2,533.4,A,1,UNK,N,GOOD,P,POOR,GOOD,NA,VAKI,NA
2006-10-30,12:51:00,UP,RBT,123,4.2,516.6,A,1,F,N,GOOD,P,GOOD,GOOD,NA,VAKI,NA
2006-11-05,22:03:00,UP,RBT,90,4.2,378,J,1,UNK,N,GOOD,P,GOOD,GOOD,NA,VAKI,NA
2006-11-13,07:33:00,UP,RBT,105,4.2,441,A,1,UNK,N,GOOD,VL,POOR,FAIR,OR,VAKI,NA
2006-12-27,11:47:00,UP,RBT,120,4.2,504,A,1,UNK,UNK,GOOD,VL,POOR,FAIR,TB,VAKI,NA
2007-01-28,05:51:00,UP,RBT,115,4.2,483,A,1,UNK,UNK,GOOD,VL,POOR,FAIR,OR,VAKI,NA
2007-02-17,18:28:00,UP,RBT,132,4.2,554.4,A,1,F,N,GOOD,P,GOOD,GOOD,NA,VAKI,NA
2007-02-25,16:06:00,UP,RBT,127,4.2,533.4,A,1,F,N,GOOD,P,GOOD,GOOD,NA,VAKI,NA
2007-03-01,18:12:00,UP,RBT,115,4.2,483,A,1,F,N,GOOD,P,GOOD,FAIR,OR,VAKI,NA
2007-06-15,23:04:00,UP,RBT,75,4.2,315,J,1,UNK,N,GOOD,P,POOR,GOOD,NA,VAKI,NA
2007-10-18,11:06:00,UP,RBT,77,5.07,390,J,1,UNK,N,GOOD,P,GOOD,GOOD,NO,VAKI,NA
2007-10-30,20:44:00,UP,RBT,69,5.07,350,J,1,UNK,N,GOOD,P,POOR,GOOD,NO,VAKI,NA
2008-10-14,19:04:00,UP,RBT,102,5.07,517.14,A,1,UNK,UNK,GOOD,VL,GOOD,GOOD,NO,VAKI,NA
2008-10-25,00:33:00,UP,RBT,78,5.07,395.46,J,1,UNK,Y,GOOD,P,FAIR,GOOD,NO,TRAP,NA
2008-10-25,02:13:00,DOWN,RBT,80,5.07,405.6,A,-1,UNK,Y,GOOD,P,FAIR,NONE,NO,TRAP,NA
2008-10-27,05:28:00,UP,RBT,65,5.07,329.55,J,1,UNK,UNK,GOOD,P,POOR,FAIR,NO,VAKI,NA
2008-10-27,05:28:00,UP,RBT,84,5.07,425.88,A,1,UNK,UNK,GOOD,P,POOR,FAIR,NO,VAKI,NA
2008-10-30,22:22:00,UP,RBT,80,5.07,405.6,A,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2008-10-31,11:19:00,UP,RBT,70,5.07,354.9,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2008-11-02,13:56:00,UP,RBT,72,5.07,365.04,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2008-11-04,00:55:00,UP,RBT,118,5.07,598.26,A,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2008-11-04,20:52:00,UP,RBT,54,5.07,273.78,J,1,UNK,Y,GOOD,P,POOR,FAIR,NO,TRAP,NA
2008-11-04,21:18:00,DOWN,RBT,60,5.07,304.2,J,-1,UNK,Y,GOOD,P,FAIR,NONE,NO,TRAP,NA
2008-11-04,22:12:00,UP,RBT,65,5.07,329.55,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,TRAP,NA
2008-11-04,23:50:00,UP,RBT,72,5.07,365.04,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,TRAP,NA
2008-11-05,01:27:00,DOWN,RBT,50,5.07,253.5,J,-1,UNK,Y,GOOD,P,FAIR,NONE,NO,TRAP,NA
2008-11-06,17:37:00,UP,RBT,85,5.07,430.95,A,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2008-11-10,17:21:00,UP,RBT,93,5.07,471.51,A,1,UNK,UNK,GOOD,P,GOOD,GOOD,NO,VAKI,NA
2008-11-12,21:17:00,UP,RBT,146,5.07,740.22,A,1,UNK,N,GOOD,VL,FAIR,FAIR,NO,TRAP,NA
2008-11-12,21:43:00,DOWN,RBT,148,5.07,750.36,A,-1,UNK,N,GOOD,VL,FAIR,NONE,NO,TRAP,NA
2008-11-14,18:18:00,UP,RBT,69,5.07,349.83,J,1,UNK,UNK,GOOD,P,FAIR,GOOD,NO,VAKI,NA
2008-11-20,13:00:00,UP,RBT,42,5.07,212.94,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,TRAP,NA
2008-11-25,05:48:00,UP,RBT,97,5.07,491.79,A,1,UNK,Y,GOOD,P,FAIR,POOR,NO,VAKI,NA
2008-11-27,16:48:00,UP,RBT,82,5.07,415.74,A,1,UNK,Y,GOOD,P,FAIR,GOOD,NO,VAKI,NA
2008-12-19,04:38:00,UP,RBT,90,5.07,456,A,1,UNK,Y,GOOD,P,GOOD,FAIR,NO,VAKI,NA
2008-12-24,23:13:00,UP,RBT,121,5.07,613,A,1,M,N,GOOD,P,POOR,GOOD,NO,VAKI,NA
2008-12-25,20:38:00,UP,RBT,137,5.07,695,A,1,UNK,N,GOOD,P,FAIR,FAIR,TB,VAKI,NA
2009-06-03,19:58:00,UP,RBT,60,5.07,304,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2009-09-18,06:05:00,UP,RBT,NA,NA,NA,J,1,UNK,N,GOOD,P,N/A,N/A,N/A,TEMP VIDEO,NA
2009-09-19,05:18:00,UP,RBT,NA,NA,NA,J,1,UNK,N,GOOD,P,N/A,N/A,N/A,TEMP VIDEO,NA
2009-09-25,05:59:00,UP,RBT,NA,NA,NA,J,1,UNK,N,GOOD,P,N/A,N/A,N/A,TEMP VIDEO,NA
2009-09-25,19:25:00,UP,RBT,NA,NA,NA,J,1,UNK,N,GOOD,P,N/A,N/A,N/A,TEMP VIDEO,NA
2009-10-14,11:45:00,UP,RBT,40,4.84,194,J,1,UNK,N,GOOD,P,POOR,FAIR,TB,VAKI,NA
