PassageDate,PassageTime,PassageDirection,Species,BodyDepth,LengthCoefficient,TotalLength,LifeStage,Count,Sex,AdClip,Condition,IDCertainty,SilhouetteQuality,VideoQuality,VideoProblems,Vaki/Trap,Comments
2009-11-12,00:43:00,UP,RBT,100,4.84,484,A,1,F,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2010-02-03,16:43:00,UP,RBT,70,4.84,339,J,1,UNK,N,GOOD,P,FAIR,POOR,TB,VAKI,NA
2010-02-13,13:22:00,UP,RBT,147,4.84,711,A,1,M,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2010-03-14,14:27:00,UP,RBT,36,4.84,174,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2010-05-22,02:16:00,UP,RBT,47,4.84,227,J,1,UNK,UNK,GOOD,P,POOR,POOR,NO,VAKI,NA
2010-11-06,12:34:00,UP,RBT,55,4.8,264,J,1,UNK,N,GOOD,VL,FAIR,POOR,OR,VAKI,NA
2011-01-05,16:42:00,UP,RBT,85,4.8,408,A,1,UNK,N,GOOD,P,FAIR,POOR,NO,VAKI,NA
2011-01-26,01:49:00,UP,RBT,45,4.8,216,J,1,UNK,UNK,GOOD,VL,POOR,POOR,OR,VAKI,NA
2011-02-09,01:29:00,UP,RBT,100,4.8,480,A,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-03-01,18:00:00,UP,RBT,47,4.8,226,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2011-03-14,10:46:00,UP,RBT,73,4.8,350,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-11-09,21:49:00,UP,RBT,102,4.8,490,A,1,UNK,UNK,GOOD,P,FAIR,FAIR,SS,VAKI,NA
2011-11-13,00:05:00,UP,RBT,102,4.8,490,A,1,UNK,UNK,GOOD,P,FAIR,FAIR,OR,VAKI,NA
2011-11-14,23:59:00,UP,RBT,105,4.8,504,A,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-11-17,20:25:00,UP,RBT,132,4.8,634,A,1,F,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-11-21,18:35:00,UP,RBT,77,4.8,370,J,1,UNK,Y,GOOD,L,FAIR,POOR,OR,VAKI,NA
2011-11-25,17:53:00,UP,RBT,82,4.8,394,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-11-25,19:33:00,UP,RBT,80,4.8,384,J,1,UNK,UNK,GOOD,P,POOR,FAIR,NO,VAKI,NA
2011-11-26,03:01:00,UP,RBT,105,4.8,504,A,1,M,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-11-28,06:50:00,UP,RBT,65,4.8,312,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-12-13,23:27:00,UP,RBT,107,4.8,514,A,1,UNK,UNK,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-12-14,17:07:00,UP,RBT,105,4.8,504,A,1,F,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-12-16,21:04:00,UP,RBT,55,4.8,264,J,1,UNK,N,GOOD,P,FAIR,FAIR,OR,VAKI,NA
2011-12-18,21:11:00,UP,RBT,80,4.8,384,J,1,UNK,Y,GOOD,P,FAIR,FAIR,OR,VAKI,NA
2011-12-22,01:48:00,UP,RBT,75,4.8,360,J,1,M,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-12-22,18:58:00,UP,RBT,97,4.8,466,A,1,M,UNK,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-12-22,18:58:00,DOWN,RBT,80,4.8,384,J,-1,UNK,UNK,GOOD,P,POOR,NONE,NO,VAKI,NA
2011-12-22,19:58:00,UP,RBT,60,4.8,288,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-12-22,23:36:00,UP,RBT,88,4.8,422,A,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-12-23,10:53:00,UP,RBT,52,4.8,250,J,1,UNK,Y,GOOD,P,POOR,FAIR,NO,VAKI,NA
2011-12-23,20:38:00,UP,RBT,82,4.8,394,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-12-23,20:38:00,DOWN,RBT,72,4.8,346,J,-1,UNK,Y,GOOD,P,POOR,NONE,NO,VAKI,NA
2011-12-23,20:50:00,UP,RBT,82,4.8,394,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2011-12-24,21:13:00,UP,RBT,45,4.8,216,J,1,UNK,Y,GOOD,L,FAIR,POOR,NO,VAKI,NA
2011-12-29,19:21:00,UP,RBT,65,4.8,312,J,1,UNK,Y,GOOD,L,FAIR,FAIR,NO,VAKI,NA
2011-12-30,01:41:00,UP,RBT,90,4.8,432,A,1,UNK,Y,GOOD,P,FAIR,NONE,NO,VAKI,NA
2011-12-30,21:50:00,UP,RBT,115,4.8,552,A,1,UNK,Y,GOOD,VL,GOOD,POOR,OR,VAKI,NA
2011-12-30,21:50:00,DOWN,RBT,105,4.8,504,A,-1,UNK,Y,GOOD,VL,POOR,NONE,NO,VAKI,NA
2011-12-31,02:18:00,UP,RBT,102,4.8,490,A,1,UNK,Y,GOOD,P,FAIR,FAIR,OR,VAKI,NA
2012-01-03,01:41:00,UP,RBT,92,4.8,442,A,1,M,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-01-03,01:42:00,DOWN,RBT,98,4.8,470,A,-1,M,N,GOOD,L,POOR,NONE,NO,VAKI,NA
2012-01-03,16:06:00,UP,RBT,90,4.8,432,A,1,M,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-01-03,19:05:00,UP,RBT,97,4.8,466,A,1,UNK,Y,GOOD,P,FAIR,POOR,NO,VAKI,NA
2012-01-03,19:05:00,DOWN,RBT,100,4.8,480,A,-1,UNK,Y,GOOD,VL,FAIR,NONE,NO,VAKI,NA
2012-01-05,05:38:00,UP,RBT,100,4.8,480,A,1,UNK,Y,GOOD,P,FAIR,FAIR,SS,VAKI,NA
2012-01-06,08:58:00,UP,RBT,45,4.8,216,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-01-10,07:23:00,UP,RBT,91,4.8,437,A,1,UNK,Y,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-01-12,21:30:00,UP,RBT,83,4.8,398,J,1,UNK,Y,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-01-12,22:11:00,UP,RBT,105,4.8,504,A,1,UNK,Y,GOOD,P,FAIR,POOR,SS,VAKI,NA
2012-01-12,22:11:00,DOWN,RBT,89,4.8,427,A,-1,UNK,Y,GOOD,L,POOR,NONE,NO,VAKI,NA
2012-01-13,00:13:00,UP,RBT,85,4.8,408,A,1,UNK,UNK,GOOD,L,FAIR,FAIR,NO,VAKI,NA
2012-01-13,19:00:00,UP,RBT,99,4.8,475,A,1,M,UNK,GOOD,L,POOR,POOR,NO,VAKI,NA
2012-01-13,22:03:00,UP,RBT,82,4.8,394,J,1,M,UNK,GOOD,L,FAIR,POOR,NO,VAKI,NA
2012-01-15,19:17:00,UP,RBT,100,4.8,480,A,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-01-15,22:14:00,UP,RBT,75,4.8,360,J,1,UNK,Y,GOOD,P,POOR,POOR,NO,VAKI,NA
2012-01-16,04:41:00,UP,RBT,92,4.8,442,A,1,UNK,Y,GOOD,P,FAIR,POOR,NO,VAKI,NA
2012-01-16,20:46:00,UP,RBT,65,4.8,312,J,1,UNK,Y,GOOD,P,POOR,POOR,NO,VAKI,NA
2012-01-16,20:46:00,DOWN,RBT,53,4.8,254,J,-1,UNK,Y,GOOD,L,POOR,NONE,NO,VAKI,NA
2012-01-16,20:53:00,UP,RBT,65,4.8,312,J,1,UNK,UNK,GOOD,VL,POOR,POOR,OR,VAKI,NA
2012-01-17,23:01:00,UP,RBT,77,4.8,370,J,1,UNK,Y,GOOD,P,FAIR,POOR,NO,VAKI,NA
2012-01-18,19:56:00,UP,RBT,65,4.8,312,J,1,UNK,UNK,GOOD,L,FAIR,POOR,NO,VAKI,NA
2012-01-18,19:56:00,DOWN,RBT,70,4.8,336,J,-1,UNK,UNK,GOOD,L,POOR,NONE,NO,VAKI,NA
2012-01-19,23:36:00,UP,RBT,80,4.8,384,J,1,UNK,UNK,GOOD,L,POOR,POOR,NO,VAKI,NA
2012-01-19,23:37:00,UP,RBT,77,4.8,370,J,1,UNK,UNK,GOOD,L,POOR,POOR,NO,VAKI,NA
2012-01-21,19:57:00,UP,RBT,105,4.8,504,A,1,UNK,Y,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-01-22,05:10:00,UP,RBT,85,4.8,408,A,1,UNK,Y,GOOD,P,POOR,POOR,EM,VAKI,NA
2012-01-22,10:47:00,UP,RBT,87,4.8,418,A,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-01-22,17:58:00,UP,RBT,77,4.8,370,J,1,UNK,Y,GOOD,L,FAIR,POOR,NO,VAKI,NA
2012-01-22,17:58:00,UP,RBT,80,4.8,384,J,1,UNK,Y,GOOD,P,FAIR,POOR,NO,VAKI,NA
2012-01-22,18:05:00,UP,RBT,85,4.8,408,A,1,UNK,Y,GOOD,P,FAIR,POOR,NO,VAKI,NA
2012-01-22,21:49:00,UP,RBT,80,4.8,384,J,1,UNK,Y,GOOD,P,FAIR,POOR,NO,VAKI,NA
2012-01-22,21:49:00,DOWN,RBT,75,4.8,360,J,-1,UNK,Y,GOOD,VL,POOR,NONE,NO,VAKI,NA
2012-01-27,15:11:00,UP,RBT,90,4.8,432,A,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-01-28,00:11:00,UP,RBT,105,4.8,504,A,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-01-30,00:37:00,UP,RBT,80,4.8,384,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-01,20:38:00,UP,RBT,75,4.8,360,J,1,UNK,Y,GOOD,P,FAIR,POOR,TB,VAKI,NA
2012-02-01,20:38:00,DOWN,RBT,60,4.8,288,J,-1,UNK,Y,GOOD,L,POOR,NONE,NO,VAKI,NA
2012-02-02,21:23:00,UP,RBT,60,4.8,288,J,1,UNK,Y,GOOD,P,FAIR,POOR,NO,VAKI,NA
2012-02-02,21:23:00,DOWN,RBT,62,4.8,298,J,-1,UNK,Y,GOOD,L,FAIR,NONE,NO,VAKI,NA
2012-02-03,15:21:00,UP,RBT,105,4.8,504,A,1,F,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-03,15:56:00,UP,RBT,70,4.8,336,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-04,23:12:00,UP,RBT,82,4.8,394,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-06,00:17:00,UP,RBT,80,4.8,384,J,1,UNK,UNK,GOOD,P,FAIR,FAIR,OR,VAKI,NA
2012-02-08,01:57:00,UP,RBT,80,4.8,384,J,1,UNK,Y,GOOD,VL,FAIR,FAIR,OR,VAKI,NA
2012-02-10,02:53:00,UP,RBT,80,4.8,384,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-10,02:53:00,DOWN,RBT,65,4.8,312,J,-1,UNK,N,GOOD,P,FAIR,NONE,NO,VAKI,NA
2012-02-10,03:13:00,UP,RBT,82,4.8,394,J,1,F,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-14,18:02:00,UP,RBT,75,4.8,360,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-17,06:29:00,UP,RBT,100,4.8,480,A,1,M,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-17,06:29:00,DOWN,RBT,82,4.8,394,J,-1,M,N,GOOD,P,FAIR,NONE,NO,VAKI,NA
2012-02-18,12:33:00,UP,RBT,62,4.8,298,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-19,11:15:00,UP,RBT,57,4.8,274,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-19,18:13:00,UP,RBT,62,4.8,298,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-21,16:43:00,UP,RBT,72,4.8,346,J,1,F,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-22,10:09:00,UP,RBT,47,4.8,226,J,1,F,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-02-23,09:18:00,UP,RBT,62,4.8,298,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-23,18:00:00,UP,RBT,65,4.8,312,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-23,18:19:00,UP,RBT,65,4.8,312,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-24,07:23:00,UP,RBT,62,4.8,298,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-24,09:04:00,UP,RBT,65,4.8,312,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-24,11:32:00,UP,RBT,70,4.8,336,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-24,11:32:00,DOWN,RBT,62,4.8,298,J,-1,UNK,Y,GOOD,VL,FAIR,NONE,NO,VAKI,NA
2012-02-24,12:06:00,UP,RBT,75,4.8,360,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-25,00:16:00,UP,RBT,62,4.8,298,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-25,02:36:00,UP,RBT,65,4.8,312,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-25,07:06:00,UP,RBT,65,4.8,312,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-26,11:32:00,UP,RBT,65,4.8,312,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-26,16:20:00,UP,RBT,60,4.8,288,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-28,10:34:00,UP,RBT,65,4.8,312,J,1,M,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-28,15:21:00,UP,RBT,62,4.8,298,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-02-28,18:09:00,UP,RBT,65,4.8,312,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-03-01,00:20:00,UP,RBT,63,4.8,302,J,1,UNK,Y,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-03-01,11:11:00,UP,RBT,95,4.8,456,A,1,F,N,GOOD,P,GOOD,FAIR,NO,VAKI,NA
2012-03-02,17:26:00,UP,RBT,75,4.8,360,J,1,M,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-03-09,17:11:00,UP,RBT,60,4.8,288,J,1,UNK,Y,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-03-10,06:09:00,UP,RBT,80,4.8,384,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-03-17,12:07:00,UP,RBT,67,4.8,322,J,1,UNK,Y,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-03-21,19:58:00,UP,RBT,50,4.8,240,J,1,UNK,Y,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-03-23,23:37:00,UP,RBT,110,4.8,528,A,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-03-26,20:59:00,UP,RBT,58,4.8,278,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-03-30,23:52:00,UP,RBT,80,4.8,384,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-04-02,13:05:00,UP,RBT,52,4.8,250,J,1,UNK,UNK,GOOD,L,POOR,FAIR,NO,VAKI,NA
2012-04-02,13:05:00,UP,RBT,50,4.8,240,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-10-15,16:52:00,UP,RBT,45,4.8,216,J,1,UNK,N,GOOD,P,FAIR,POOR,TB,VAKI,NA
2012-10-18,08:39:00,UP,RBT,70,4.8,336,J,1,UNK,Y,GOOD,P,FAIR,POOR,TB,VAKI,NA
2012-10-19,17:51:00,UP,RBT,87,4.8,418,A,1,UNK,UNK,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-10-25,11:38:00,UP,RBT,50,4.8,240,J,1,UNK,UNK,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-10-27,08:00:00,UP,RBT,52,4.8,250,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-10-28,06:06:00,UP,RBT,60,4.8,288,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-10-28,06:07:00,DOWN,RBT,52,4.8,250,J,-1,UNK,N,GOOD,L,POOR,NONE,N/A,VAKI,NA
2012-10-28,12:18:00,UP,RBT,60,4.8,288,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-10-30,05:19:00,UP,RBT,70,4.8,336,J,1,UNK,N,GOOD,L,FAIR,FAIR,OR,VAKI,NA
2012-11-01,10:37:00,UP,RBT,65,4.8,312,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-11-04,03:59:00,UP,RBT,80,4.8,384,J,1,UNK,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-11-04,11:29:00,UP,RBT,40,4.8,192,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-11-10,14:52:00,UP,RBT,55,4.8,264,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-11-14,11:57:00,UP,RBT,42,4.8,202,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-11-24,18:24:00,UP,RBT,45,4.8,216,J,1,UNK,Y,GOOD,L,POOR,FAIR,NO,VAKI,NA
2012-11-26,05:48:00,UP,RBT,62,4.8,298,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-11-26,09:38:00,UP,RBT,65,4.8,312,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-12-04,14:26:00,UP,RBT,62,4.8,298,J,1,UNK,N,GOOD,P,FAIR,POOR,TB,VAKI,NA
2012-12-05,03:54:00,UP,RBT,82,4.8,394,J,1,M,Y,GOOD,L,FAIR,FAIR,NO,VAKI,NA
2012-12-05,11:41:00,UP,RBT,40,4.8,192,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-12-08,03:41:00,UP,RBT,107,4.8,514,A,1,UNK,Y,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-12-10,09:58:00,UP,RBT,45,4.8,216,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-12-11,06:46:00,UP,RBT,42,4.8,202,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-12-12,07:03:00,UP,RBT,45,4.8,216,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-12-13,00:14:00,UP,RBT,97,4.8,466,A,1,F,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-12-13,07:08:00,UP,RBT,47,4.8,226,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-12-13,07:52:00,UP,RBT,40,4.8,192,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-12-13,22:25:00,UP,RBT,95,4.8,456,A,1,F,Y,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-12-13,22:26:00,DOWN,RBT,105,4.8,504,A,-1,F,Y,GOOD,P,POOR,NONE,N/A,VAKI,NA
2012-12-14,18:11:00,UP,RBT,107,4.8,514,A,1,F,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-12-14,18:11:00,DOWN,RBT,93,4.8,446,A,-1,F,Y,GOOD,P,POOR,NONE,N/A,VAKI,NA
2012-12-14,18:22:00,UP,RBT,102,4.8,490,A,1,F,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-12-15,06:45:00,UP,RBT,42,4.8,202,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-12-16,06:44:00,UP,RBT,42,4.8,202,J,1,UNK,N,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-12-16,12:14:00,UP,RBT,45,4.8,216,J,1,UNK,N,GOOD,P,POOR,FAIR,NO,VAKI,NA
2012-12-18,22:02:00,UP,RBT,100,4.8,480,A,1,F,Y,GOOD,P,FAIR,FAIR,NO,VAKI,NA
2012-12-20,07:46:00,UP,RBT,42,4.8,202,J,1,UNK,N,GOOD,P,POOR,POOR,SS,VAKI,NA
