date,time,pit_number,detected_on_multiple_days,tag_source,species,tag_date,fish_code,length_when_tagged,comments
3/30/2022,1:22:00,b982091062594274,yes,stan weir trapping,rbt,12/20/2021,weir-2021-6,480,NA
4/1/2022,31:01:00,b982091062594274,yes,stan weir trapping,rbt,12/20/2021,weir-2021-6,480,NA
4/5/2022,13:43:00,b982091062594274,yes,stan weir trapping,rbt,12/20/2021,weir-2021-6,480,NA
