passage_date,passage_time,passage_direction,species,body_depth,length_coefficient,total_length,life_stage,count,sex,ad_clip,fish_condition,id_certainty,silhouette_quality,video_quality,video_problems,vaki_trap,comments
2011-12-23T00:00:00Z,20:50:00,up,rbt,82,4.8,394,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
2011-12-24T00:00:00Z,21:13:00,up,rbt,45,4.8,216,j,1,unk,yes,good,l,fair,poor,no,vaki,NA
2011-12-29T00:00:00Z,19:21:00,up,rbt,65,4.8,312,j,1,unk,yes,good,l,fair,fair,no,vaki,NA
2011-12-30T00:00:00Z,01:41:00,up,rbt,90,4.8,432,a,1,unk,yes,good,p,fair,none,no,vaki,NA
2011-12-30T00:00:00Z,21:50:00,up,rbt,115,4.8,552,a,1,unk,yes,good,vl,good,poor,or,vaki,NA
2011-12-30T00:00:00Z,21:50:00,down,rbt,105,4.8,504,a,-1,unk,yes,good,vl,poor,none,no,vaki,NA
2011-12-31T00:00:00Z,02:18:00,up,rbt,102,4.8,490,a,1,unk,yes,good,p,fair,fair,or,vaki,NA
2012-01-03T00:00:00Z,01:41:00,up,rbt,92,4.8,442,a,1,m,no,good,p,fair,fair,no,vaki,NA
2012-01-03T00:00:00Z,01:42:00,down,rbt,98,4.8,470,a,-1,m,no,good,l,poor,none,no,vaki,NA
2012-01-03T00:00:00Z,16:06:00,up,rbt,90,4.8,432,a,1,m,no,good,p,fair,fair,no,vaki,NA
2012-01-03T00:00:00Z,19:05:00,up,rbt,97,4.8,466,a,1,unk,yes,good,p,fair,poor,no,vaki,NA
2012-01-03T00:00:00Z,19:05:00,down,rbt,100,4.8,480,a,-1,unk,yes,good,vl,fair,none,no,vaki,NA
2012-01-05T00:00:00Z,05:38:00,up,rbt,100,4.8,480,a,1,unk,yes,good,p,fair,fair,ss,vaki,NA
2012-01-06T00:00:00Z,08:58:00,up,rbt,45,4.8,216,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2012-01-10T00:00:00Z,07:23:00,up,rbt,91,4.8,437,a,1,unk,yes,good,p,poor,fair,no,vaki,NA
2012-01-12T00:00:00Z,21:30:00,up,rbt,83,4.8,398,j,1,unk,yes,good,p,poor,fair,no,vaki,NA
2012-01-12T00:00:00Z,22:11:00,up,rbt,105,4.8,504,a,1,unk,yes,good,p,fair,poor,ss,vaki,NA
2012-01-12T00:00:00Z,22:11:00,down,rbt,89,4.8,427,a,-1,unk,yes,good,l,poor,none,no,vaki,NA
2012-01-13T00:00:00Z,00:13:00,up,rbt,85,4.8,408,a,1,unk,NA,good,l,fair,fair,no,vaki,NA
2012-01-13T00:00:00Z,19:00:00,up,rbt,99,4.8,475,a,1,m,NA,good,l,poor,poor,no,vaki,NA
2012-01-13T00:00:00Z,22:03:00,up,rbt,82,4.8,394,j,1,m,NA,good,l,fair,poor,no,vaki,NA
2012-01-15T00:00:00Z,19:17:00,up,rbt,100,4.8,480,a,1,unk,yes,good,p,fair,fair,no,vaki,NA
2012-01-15T00:00:00Z,22:14:00,up,rbt,75,4.8,360,j,1,unk,yes,good,p,poor,poor,no,vaki,NA
2012-01-16T00:00:00Z,04:41:00,up,rbt,92,4.8,442,a,1,unk,yes,good,p,fair,poor,no,vaki,NA
2012-01-16T00:00:00Z,20:46:00,up,rbt,65,4.8,312,j,1,unk,yes,good,p,poor,poor,no,vaki,NA
2012-01-16T00:00:00Z,20:46:00,down,rbt,53,4.8,254,j,-1,unk,yes,good,l,poor,none,no,vaki,NA
2012-01-16T00:00:00Z,20:53:00,up,rbt,65,4.8,312,j,1,unk,NA,good,vl,poor,poor,or,vaki,NA
2012-01-17T00:00:00Z,23:01:00,up,rbt,77,4.8,370,j,1,unk,yes,good,p,fair,poor,no,vaki,NA
2012-01-18T00:00:00Z,19:56:00,up,rbt,65,4.8,312,j,1,unk,NA,good,l,fair,poor,no,vaki,NA
2012-01-18T00:00:00Z,19:56:00,down,rbt,70,4.8,336,j,-1,unk,NA,good,l,poor,none,no,vaki,NA
