passage_date,passage_time,passage_direction,species,body_depth,length_coefficient,total_length,life_stage,count,sex,ad_clip,fish_condition,id_certainty,silhouette_quality,video_quality,video_problems,vaki_trap,comments
1/9/2005,7:55:00,up,rbt,127,4.1,520.7,a,1,f,no,good,p,good,poor,tb,trap,NA
10/15/2005,14:28:00,up,rbt,102,4.8,489.6,a,1,f,no,good,p,poor,good,NA,vaki,NA
9/24/2006,7:38:00,up,rbt,80,4.2,336,j,1,unk,no,good,vl,poor,fair,or,vaki,NA
10/11/2006,13:08:00,up,rbt,90,4.2,378,j,1,f,yes,good,p,good,good,NA,vaki,NA
10/25/2006,12:39:00,up,rbt,127,4.2,533.4,a,1,unk,no,good,p,poor,good,NA,vaki,NA
10/30/2006,12:51:00,up,rbt,123,4.2,516.6,a,1,f,no,good,p,good,good,NA,vaki,NA
11/5/2006,22:03:00,up,rbt,90,4.2,378,j,1,unk,no,good,p,good,good,NA,vaki,NA
11/13/2006,7:33:00,up,rbt,105,4.2,441,a,1,unk,no,good,vl,poor,fair,or,vaki,NA
12/27/2006,11:47:00,up,rbt,120,4.2,504,a,1,unk,NA,good,vl,poor,fair,tb,vaki,NA
1/28/2007,5:51:00,up,rbt,115,4.2,483,a,1,unk,NA,good,vl,poor,fair,or,vaki,NA
2/17/2007,18:28:00,up,rbt,132,4.2,554.4,a,1,f,no,good,p,good,good,NA,vaki,NA
2/25/2007,16:06:00,up,rbt,127,4.2,533.4,a,1,f,no,good,p,good,good,NA,vaki,NA
3/1/2007,18:12:00,up,rbt,115,4.2,483,a,1,f,no,good,p,good,fair,or,vaki,NA
6/15/2007,23:04:00,up,rbt,75,4.2,315,j,1,unk,no,good,p,poor,good,NA,vaki,NA
10/18/2007,11:06:00,up,rbt,77,5.07,390,j,1,unk,no,good,p,good,good,no,vaki,NA
10/30/2007,20:44:00,up,rbt,69,5.07,350,j,1,unk,no,good,p,poor,good,no,vaki,NA
10/14/2008,19:04:00,up,rbt,102,5.07,517.14,a,1,unk,NA,good,vl,good,good,no,vaki,NA
10/25/2008,0:33:00,up,rbt,78,5.07,395.46,j,1,unk,yes,good,p,fair,good,no,trap,NA
10/25/2008,2:13:00,down,rbt,80,5.07,405.6,a,-1,unk,yes,good,p,fair,none,no,trap,NA
10/27/2008,5:28:00,up,rbt,65,5.07,329.55,j,1,unk,NA,good,p,poor,fair,no,vaki,NA
10/27/2008,5:28:00,up,rbt,84,5.07,425.88,a,1,unk,NA,good,p,poor,fair,no,vaki,NA
10/30/2008,22:22:00,up,rbt,80,5.07,405.6,a,1,unk,yes,good,p,fair,fair,no,vaki,NA
10/31/2008,11:19:00,up,rbt,70,5.07,354.9,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
11/2/2008,13:56:00,up,rbt,72,5.07,365.04,j,1,unk,yes,good,p,fair,fair,no,vaki,NA
11/4/2008,0:55:00,up,rbt,118,5.07,598.26,a,1,unk,no,good,p,fair,fair,no,vaki,NA
11/4/2008,20:52:00,up,rbt,54,5.07,273.78,j,1,unk,yes,good,p,poor,fair,no,trap,NA
11/4/2008,21:18:00,down,rbt,60,5.07,304.2,j,-1,unk,yes,good,p,fair,none,no,trap,NA
11/4/2008,22:12:00,up,rbt,65,5.07,329.55,j,1,unk,yes,good,p,fair,fair,no,trap,NA
11/4/2008,23:50:00,up,rbt,72,5.07,365.04,j,1,unk,yes,good,p,fair,fair,no,trap,NA
11/5/2008,1:27:00,down,rbt,50,5.07,253.5,j,-1,unk,yes,good,p,fair,none,no,trap,NA
11/6/2008,17:37:00,up,rbt,85,5.07,430.95,a,1,unk,yes,good,p,fair,fair,no,vaki,NA
11/10/2008,17:21:00,up,rbt,93,5.07,471.51,a,1,unk,NA,good,p,good,good,no,vaki,NA
11/12/2008,21:17:00,up,rbt,146,5.07,740.22,a,1,unk,no,good,vl,fair,fair,no,trap,NA
11/12/2008,21:43:00,down,rbt,148,5.07,750.36,a,-1,unk,no,good,vl,fair,none,no,trap,NA
11/14/2008,18:18:00,up,rbt,69,5.07,349.83,j,1,unk,NA,good,p,fair,good,no,vaki,NA
11/20/2008,13:00:00,up,rbt,42,5.07,212.94,j,1,unk,no,good,p,poor,fair,no,trap,NA
11/25/2008,5:48:00,up,rbt,97,5.07,491.79,a,1,unk,yes,good,p,fair,poor,no,vaki,NA
11/27/2008,16:48:00,up,rbt,82,5.07,415.74,a,1,unk,yes,good,p,fair,good,no,vaki,NA
12/19/2008,4:38:00,up,rbt,90,5.07,456,a,1,unk,yes,good,p,good,fair,no,vaki,NA
12/24/2008,23:13:00,up,rbt,121,5.07,613,a,1,m,no,good,p,poor,good,no,vaki,NA
12/25/2008,20:38:00,up,rbt,137,5.07,695,a,1,unk,no,good,p,fair,fair,tb,vaki,NA
6/3/2009,19:58:00,up,rbt,60,5.07,304,j,1,unk,no,good,p,fair,fair,no,vaki,NA
9/18/2009,6:05:00,up,rbt,NA,NA,NA,j,1,unk,no,good,p,n/a,n/a,NA,temp video,NA
9/19/2009,5:18:00,up,rbt,NA,NA,NA,j,1,unk,no,good,p,n/a,n/a,NA,temp video,NA
9/25/2009,5:59:00,up,rbt,NA,NA,NA,j,1,unk,no,good,p,n/a,n/a,NA,temp video,NA
9/25/2009,19:25:00,up,rbt,NA,NA,NA,j,1,unk,no,good,p,n/a,n/a,NA,temp video,NA
10/14/2009,11:45:00,up,rbt,40,4.84,194,j,1,unk,no,good,p,poor,fair,tb,vaki,NA
11/12/2009,0:43:00,up,rbt,100,4.84,484,a,1,f,no,good,p,fair,fair,no,vaki,NA
2/3/2010,16:43:00,up,rbt,70,4.84,339,j,1,unk,no,good,p,fair,poor,tb,vaki,NA
2/13/2010,13:22:00,up,rbt,147,4.84,711,a,1,m,no,good,p,fair,fair,no,vaki,NA
3/14/2010,14:27:00,up,rbt,36,4.84,174,j,1,unk,no,good,p,poor,fair,no,vaki,NA
5/22/2010,2:16:00,up,rbt,47,4.84,227,j,1,unk,NA,good,p,poor,poor,no,vaki,NA
11/6/2010,12:34:00,up,rbt,55,4.8,264,j,1,unk,no,good,vl,fair,poor,or,vaki,NA
1/5/2011,16:42:00,up,rbt,85,4.8,408,a,1,unk,no,good,p,fair,poor,no,vaki,NA
1/26/2011,1:49:00,up,rbt,45,4.8,216,j,1,unk,NA,good,vl,poor,poor,or,vaki,NA
2/9/2011,1:29:00,up,rbt,100,4.8,480,a,1,unk,no,good,p,fair,fair,no,vaki,NA
3/1/2011,18:00:00,up,rbt,47,4.8,226,j,1,unk,no,good,p,poor,fair,no,vaki,NA
3/14/2011,10:46:00,up,rbt,73,4.8,350,j,1,unk,no,good,p,fair,fair,no,vaki,NA
11/9/2011,21:49:00,up,rbt,102,4.8,490,a,1,unk,NA,good,p,fair,fair,ss,vaki,NA
11/13/2011,0:05:00,up,rbt,102,4.8,490,a,1,unk,NA,good,p,fair,fair,or,vaki,NA
11/14/2011,23:59:00,up,rbt,105,4.8,504,a,1,unk,no,good,p,fair,fair,no,vaki,NA
